Hero_id,Bg_Line1,Bg_Line2,Bg_Line3,Bg_Line4,Bg_Line5,Bg_Line6,Bg_Line7,Bg_Line8,Bg_Line9,Bg_Line10,Bg_Line11,Bg_Line12,Bg_Line13,Bg_Line14,Bg_Line15,Bg_Line16,Bg_Line17,Bg_Line18,Bg_Line1_en,Bg_Line2_en,Bg_Line3_en,Bg_Line4_en,Bg_Line5_en,Bg_Line6_en,Bg_Line7_en,Bg_Line8_en,Bg_Line9_en,Bg_Line10_en,Bg_Line11_en,Bg_Line12_en
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
13,"{乌米伽最近新来了个舞姬，一时间不少王公贵族不远千里，一掷千金只求少女能为自己独舞一曲。
鲜艳的长裙随着她的步伐旋转，白皙纤长的手在空中变换出各种姿态，连头发丝都好似注入灵魂，每一次舞动都撩人心弦。}",{半年前忒菲丝自森林的小木屋醒来就很多事都不记得了，只隐隐约约能想起一个叫“落埃之城”的地方。她本能地跳舞，竟发现自己的舞蹈能根据观看者内心的渴望编织幻境，看着他们或哭或笑，忒菲丝空洞的内心只觉羡慕。},{后来有人告诉她，当年瓦妮莎的得力干将铁甲将军似乎与“落埃之城”有关，或许铁甲将军可以带给她记忆的线索。},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Recently, a new dancer arrived in Umiga, and in no time, numerous nobles and royals traveled great distances, spending fortunes just to have the girl perform a solo dance for them.
Her vibrant long skirt twirled with her steps, her fair and slender hands shifting into various poses in the air. Even strands of her hair seemed infused with soul, every movement captivating the heart.","Half a year ago, Thefis woke up in a small cabin in the forest, having forgotten many things. She could only vaguely recall a place called ""City of Fallen Dust."" She danced instinctively and discovered that her dance could weave illusions based on the desires of those watching. Seeing them cry or laugh, Thefis felt only envy in her hollow heart.","Later, someone told her that Crocodile, Vanessa's trusted general from back then, seemed to have a connection to the ""City of Fallen Dust."" Perhaps Crocodile could provide her with clues to her memories.",,,,,,,,,
14,"{作为魔法学院炙手可热的精灵之一，外表与性格同样甜美的厄洛丝拥有一副好嗓子，是许多学弟学妹心中追崇的对象。
她享受舞台、鲜花和尖叫，习惯了到哪儿都是万众瞩目的焦点。
当然，偶尔也会遇见意外。}","{“厄洛丝小姐，我喜欢你很久了，请务必和我交往。”
厄洛丝看着对方真挚的眼神，露出了练习无数遍的完美微笑，说道：“谢谢学弟的喜欢哦，我会继续努力的。”
“厄洛丝小姐，我买了所有你喜欢的东西！请你收下吧！我爱你！和我交往吧！”
“谢谢，学弟你让一让，挡到路了哟。”}","{“想走？”追求者挡住了她，霎时一只触手破土而出，“你今天不答应跟我交往，我是不会让你走的。”
厄洛丝目光逐渐变冷，说道：“召唤术？想和我决斗吗？别不自量力了！”}","{战斗顷刻结束，触手瞬间化为云烟，与其说是战斗更不如说是单方面的实力碾压。
“真是令人不爽。”厄洛丝理了理自己微微皱起的衣角，微笑看向失败后呆坐在地上的追求者，“学弟不要告诉别人哟，这是我们的秘密。”}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"As one of the most sought-after elves at the magic academy, Eros, with her sweet appearance and personality, possesses a beautiful voice and is admired by many juniors.
She enjoys the stage, flowers, and screams, accustomed to being the center of attention wherever she goes.
Of course, she occasionally encounters surprises.","""Miss Eros, I've liked you for a long time. Please, go out with me.""
Eros looked at the sincere expression in the other person's eyes and flashed a perfectly practiced smile, saying, ""Thank you for your affection, junior. I'll keep working hard.""
""Miss Eros, I bought everything you like! Please accept it! I love you! Go out with me!""
""Thank you, junior. Could you move aside? You're blocking the way.""","""Trying to leave?"" The suitor blocked her path, and in an instant, a tentacle burst from the ground. ""If you don't agree to go out with me today, I won't let you leave.""
Eros's gaze gradually turned cold as she said, ""Summoning magic? You want to duel me? Don't overestimate yourself!""","The battle ended in an instant, the tentacles dissipating into smoke. It was less of a fight and more of a one-sided display of overwhelming power.
""How annoying,"" Eros said, smoothing the slightly wrinkled corner of her clothes. She smiled at the suitor, who sat stunned on the ground after his defeat. ""Don't tell anyone, junior. This is our little secret.""",,,,,,,,
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
16,{继承了暗夜精灵一族最纯正血统的斯莉德，不甘臣服于哥哥的统治，很早的时候便脱离了家族，去追求着绝对的力量，她喜欢战斗时肾上腺素飙升的感觉。},"{瓦妮莎找过她。
尽管并不想被麻烦的家伙缠上，但说实话，她不讨厌瓦妮莎这样的性格，有野心有手段，某些地方跟自己甚至出奇地相似。}",{可她们终究不是一路人，斯莉德知道，瓦妮莎是个百分百的“疯子”，如果没有想要守护的东西，自己或许真的会加入迪布克组织也说不定，但这个世界原本就没有如果。},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Slider, who inherited the purest bloodline of the Dark Elves, refused to submit to her brother's rule. She left her family early to pursue absolute power. She loved the adrenaline rush that came with battle.","Vanessa had sought her out.
Although she didn't want to be bothered by troublesome people, to be honest, she didn't dislike Vanessa's personality—ambitious and resourceful, with some surprising similarities to herself.","But in the end, they were not the same kind of people. Slider knew that Vanessa was a complete ""madwoman."" If she didn't have something she wanted to protect, she might have truly joined the Dibuk organization. But in this world, there are no ""what ifs.""",,,,,,,,,
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
20,{二十年前默林赛斯镇的贫穷逐渐蔓延到镇上的各个角落，水源稀缺，土地无法长期供应植被和作物生长，大量镇民流亡去了别处，久而久之那里成为了周边最穷苦的的地方。},{所以乌蒂亚到来的那天她受到了不少注目，穿着黑色礼裙的美丽少女显然与这里格格不入，但她似乎丝毫没有感到不适，只是高昂着头在镇子里来回走了好一阵。稍晚的时候有人看见她出现在空地，像是在布阵又像是在施展某种法术。},"{第二天整个默林赛斯镇沸腾了，原本空旷的土地上长出一棵参天大树，绿油油的枝叶形成了巨大的树冠，树根处甚至有汩汩清水冒出地面。
乌蒂亚满意地坐在树枝上，每有一个镇民前来，她都会为其发放一些种子，并告知其种植的方式。}",{二十年过去，默林赛斯镇靠着“生命之树”发展得越发繁华，尽管这期间乌蒂亚再也没出现过，但小巷里始终流传着她的故事。其中最可靠的一种猜想是“生命之树”来自某个失传已久的法术，而精灵少女则是来自行踪飘忽不定的巫女一族。},0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Twenty years ago, poverty in Merlinseath gradually spread to every corner of the town. Water was scarce, and the land could no longer sustain vegetation or crops. Many townsfolk fled to other places, and over time, it became the most impoverished area in the region.","On the day Utia arrived, she drew quite a bit of attention. The beautiful girl in a black dress clearly stood out from the surroundings, yet she showed no sign of discomfort. Instead, she held her head high and wandered around the town for quite some time. Later in the evening, someone spotted her in an open field, seemingly setting up an array or casting some kind of spell.","The next day, the entire town of Merlinseath was in an uproar. A towering tree had suddenly grown on the previously barren land, its lush green foliage forming a massive canopy, with clear water gushing out from its roots. Utia sat contentedly on a branch, distributing seeds to each townsfolk who came and carefully explaining how to plant them.","Twenty years passed, and Merlinseath flourished with the help of the ""Tree of Life."" Though Utia never appeared again during this time, stories about her continued to circulate in the alleyways. The most plausible theory suggested that the Tree of Life originated from some long-lost magic, and that the elven maiden belonged to an elusive clan of witches.",,,,,,,,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
22,"{百年前，家族风头正盛的时候在某个贵族举办的舞会上，珀瑞斯跟奥尔露恩有过一面之缘。
那时候她说，新月升起之日，我们会再见面的。}","{新月来临那天，奥尔露恩如期而至，她看着呆坐在窗边的少女，一脸心疼地说道：“珀瑞斯，你现在为何如此憔悴？”
珀瑞斯看清来人后，她低头捂住自己的右脸，咬牙说：“完了！一切都完了！那群混蛋！封印松动了。我的脸也受伤了！我该怎么办？”}",{奥尔露恩为难地看向女人，说道：“我倒是知道西南方向有一个叫莉莉丝的赤精灵可以帮你，但……你可能需要付出点代价。”},"{珀瑞斯神情渐渐平静下来，仿佛依旧是那个舞会上高傲优雅的大小姐。
“只要能获得力量，我什么都可以付出。”
再一次出现在人们视野时珀瑞斯比以前更漂亮了，这次她是来招女仆的。}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A century ago, when the family was at the height of its prominence, Perris and Olrun crossed paths at a ball hosted by a noble.
Back then, she said, ""On the day the new moon rises, we will meet again.""","On the day the new moon arrived, Olrun came as promised. Looking at the girl sitting blankly by the window, she said with a pained expression, ""Perris, why do you look so haggard now?""
After recognizing who had come, Perris lowered her head, covering her right face, and gritted her teeth, saying, ""It's over! Everything is over! Those bastards! The seal has loosened. My face is injured too! What should I do?""","Olrun looked at the woman with a troubled expression and said, ""I do know of a red elf named Lilith in the southwest who might be able to help you, but... you may need to pay a price.""","Perris's expression gradually calmed, as if she were still the proud and elegant lady from the ball.
""As long as I can gain power, I am willing to pay any price.""
When she reappeared in people's sight, Perris was even more beautiful than before. This time, she was here to recruit maids.",,,,,,,,
23,"{作为圣骑士团的灵魂，罗兰时时关注着世界的变化。
直到很久以后，罗兰回想自己之所以来到圣骑士团，也一定是因为被尤缇迦的鸡汤给洗脑了，但事实证明，尤缇迦是对的。}","{在见过贫瘠、穷苦，经历过背叛、暗斗之后，她确实成长了。
虽然现在也常常因为行事风格不同而跟尤缇迦发生争执，但两人从来不会强行要求对方认同自己，很多人或许不知道，私底下的她俩确实算得上彼此的知己。}","{闲暇的时间，她总是坐在城墙最高的地方凝视城镇，每每这个时候，她的脑子里会闪过无数念头，有时候是对局势的分析，有时候是对人性的思考。
在家时，罗兰是虽然有点挑食，却很好相处的大小姐，而在面对魔物时，她却冷静而善战。}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"As the soul of the Holy Knights, Roland always kept an eye on the changes in the world.
It wasn't until much later that Roland reflected on why he had joined the Holy Knights—it must have been because he was brainwashed by Utija's motivational speeches. But in the end, the facts proved that Utija was right.","After witnessing poverty and hardship, and experiencing betrayal and covert struggles, she had indeed grown.
Although she often clashed with Utija due to their differing approaches, neither of them ever forced the other to agree with their views. Many might not know, but in private, they were truly each other's confidants.","In her spare time, she would always sit at the highest point of the city walls, gazing at the town. During these moments, countless thoughts would flash through her mind—sometimes analyzing the situation, other times pondering human nature.
At home, Roland was a somewhat picky but easygoing young lady, yet when facing monsters, she was calm and skilled in battle.",,,,,,,,,
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
28,"{生生世世，花不见叶、叶不见花，彼岸花娇艳，却总让人心伤。古里拉河旁的彼岸花又开了。
暗夜里似乎隐隐觉得有眼睛盯着她，须佐真希知道这场战斗不可避免，她背靠月色，手中的刀微微颤抖，屏气凝息，静候着……}","{“不愧是最强铸刀师须佐家最后的血脉，”黑暗中，一个女人的声音传来，“手上那把就是妖刀彼岸了吧，乖乖交出来，我就饶了你。”
“休想。”}","{刀身在一瞬燃烧起赤炎，火光照亮了须佐真希的侧脸，她在空中轻轻一跃，刀快如闪电。
须佐真希转身指向女人，女人身手矫捷，须佐真希始终无法近身那女人。二人僵持不下，难分胜负。
银光闪过，一把武士刀打破了僵局。}","{“这么热闹怎么能少了我？”清真纪的声音划拨夜空。
胜利的天平逐渐倾斜，女人愤然离开时只盯着彼岸说是会再回来。
“我是不是该知道你叫什么了？”
“嗯。”}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Life after life, the flowers never see the leaves, and the leaves never see the flowers. The higanbana is stunning, yet it always brings sorrow. By the Kurila River, the higanbana have bloomed once more.
In the dark night, she faintly felt eyes watching her. SusaMaki knew this battle was inevitable. With her back to the moonlight, her blade trembled slightly as she held her breath, waiting silently...","""As expected of the last descendant of the Susa family, the greatest swordsmiths,"" a woman's voice came from the darkness. ""That blade in your hand is the demon sword Higan, isn't it? Hand it over obediently, and I'll spare you.""
""Not a chance.""","The blade ignited in crimson flames in an instant, the firelight illuminating SusaMaki's profile. She leaped lightly into the air, her sword swift as lightning.
SusaMaki turned and pointed her blade at the woman, but the woman's agility kept SusaMaki from closing the distance. The two were locked in a stalemate, neither able to gain the upper hand.
A flash of silver light broke the deadlock—a katana.","""How could I miss out on all this excitement?"" Seimaki's voice cut through the night sky.
The scales of victory gradually tilted, and the woman left in anger, her eyes fixed on Higan as she vowed to return.
""Shouldn't I know your name by now?""
""Mm.""",,,,,,,,
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
32,"{克图格亚有一个秘密。
白天她是高高在上的圣女，而夜晚来临之时，她将化身审判者，带着神的旨意审判罪恶。}","{与其他圣女不同，她从来不去议会，也不接受莫须有的约束。克图格亚的世界里善恶分明，秩序不能主持的正义就让她来主持吧。
“本大爷才没必要跟那群罗里吧嗦的麻烦鬼浪费时间呢。” 克图格亚这么说到。}",{世间有很多关于她的传说，神化她或是诋毁她，但不管怎样，有这么一位正义使者，大部分人都觉得安心，城内的魔物也直线锐减。虽然长时间没人作恶的感觉有点无聊，但克图格亚对这样的场面很是欣慰。},{白天大部分时间，她都穿着华丽的长裙坐在花园里，边品着下午茶，边听着邦妮的汇报，她想：真不愧是本大爷，可比尤缇迦的方法奏效多了。},0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cthugha has a secret.
By day, she is the revered saintess, but when night falls, she transforms into a judge, carrying out divine judgment against evil.","Unlike other saintesses, she never attends councils nor accepts unnecessary constraints. In Cthugha's world, good and evil are clearly defined, and if order cannot uphold justice, she will take it upon herself to do so.
""I have no need to waste time with those long-winded troublemakers,"" Cthugha said.","There are many legends about her in the world, some deifying her, others slandering her. But regardless, with such a righteous enforcer around, most people feel at ease, and the number of monsters in the city has sharply decreased. Although the long stretch without wrongdoing feels a bit boring, Cthugha is quite pleased with this state of affairs.","For most of the day, she sat in the garden wearing an elegant long dress, sipping afternoon tea while listening to Bonnie's reports. She thought: ""As expected of me, my methods are far more effective than Utija's.""",,,,,,,,
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
34,"{如果问圣骑士团中谁最强势，那一定是罗兰，但如果问谁最可怕，第三骑士“灾星”波蒙当之无愧。
波蒙喜欢黑色，属于夜晚的颜色。她的力量在战斗中积蓄，长矛只对准敌人，滚烫的汗珠溅上她黑色的长裙，不一会儿便晕染开来。}",{波蒙幼时曾经流浪过一段时光，“哇哇”的哭喊声惹人心生怜爱，是当地一个没有子女的好心贵族把她领回了家。女主人待她极好，陪她度过了一个温暖的童年。},{可是蛮族的入侵打破了她平静的生活，她拼尽全力才得以逃生，从此漫长的流浪之旅开始。那以后，她所经之处总会发生不幸，“灾星”的称号也由此得来。},{直到加入圣骑士团，疲惫的心被战意激活，她意识到，如果厄运的起源来自世界的混乱，那么恢复正常秩序的方法唯有战斗。},0,0,0,0,0,0,0,0,0,0,0,0,0,0,"If asked who is the most dominant in the Holy Knight Order, it would undoubtedly be Roland. But if asked who is the most fearsome, the third knight ""Calamity Star"" Pomon deserves that title.
Pomon adores black, the color of night. Her power accumulates in battle, her spear aimed only at enemies. Scorching sweat droplets splatter onto her black gown, spreading like ink before long.","In her childhood, Pomon had once been a wanderer. Her ""waa waa"" cries stirred compassion in others, until a kind-hearted, childless noble from the area took her home. The lady of the house treated her exceedingly well, giving her a warm childhood to remember.","But the barbarians' invasion shattered her peaceful life. She barely escaped with her life, thus beginning her long wandering journey. Since then, misfortune always followed wherever she went, earning her the epithet ""Calamity Star.""","It wasn't until she joined the Holy Knight Order that her weary heart was reignited by fighting spirit. She realized that if misfortune originated from the world's chaos, then the only way to restore order was through battle.",,,,,,,,
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
37,{九尾狐在兽人族中是非常罕见的种类，荒的到来无疑引起了不小轰动。},{那天，貌美的九尾少女与族长与交谈了很久，没人知道他们说了些什么，只知道族长从屋内出来后神情凝重，而少女紧随其后，脸上与来时无异，并看不出表情。},{之后再没人在兽人族见过荒，据部分上了年纪的兽人回忆，他们曾在小时候与荒有过一面之缘，那时候的荒外表与现在变化不大，也是这样来去匆匆。},{有人说她只在兽人族危机的时候出现，也有人说她受第一任族长所托，往返于各个大陆之间，寻找着世界的秘密。},0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The nine-tailed fox is an extremely rare species among the beastmen, and Susabi's arrival undoubtedly caused quite a stir.","That day, the beautiful nine-tailed girl spoke with the clan leader for a long time. No one knew what they discussed, but it was clear that the leader emerged from the room with a grave expression, while the girl followed closely behind, her face as unreadable as when she had arrived.","After that, no one ever saw Susabi among the beastmen again. According to some older beastmen, they had briefly encountered Susabi in their childhood. Back then, Susabi's appearance was not much different from now, and they were just as elusive.","Some say she only appears during times of crisis for the beastmen, while others claim she was entrusted by the first clan leader to travel between continents, seeking the secrets of the world.",,,,,,,,
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
39,"{还在森林居住的时候，巴斯特便经常往拉法叶的小木屋跑。
为了安神，拉法叶会在小木屋里点上一支木香，等巴斯特来时自己就将书里看到的故事讲给她听。}","{巴斯特永远一副睡不醒的样子，那天她迷迷糊糊间被森林里暗藏的陷阱刺伤，找到拉法叶的时候委屈极了，趁着拉法叶给自己找消毒药剂的时间，她玩起了掉落在地上的羽毛。
巴斯特惊讶地看着自己的伤口渐渐愈合，最后连疤痕也逐渐消失。}","{自从掌握了用羽毛治愈伤口的方法，拉法叶总想着用这份力量救助更多的人。
为此她找到了克丽奥娜长老。
“后辈，别把这个世界想得太美好，不过，如果你真想实现自己的价值的话，就去闯荡吧，只要别哭着回来就行。”}",{拉法叶没有哭着回来，当克丽奥娜听到拉法叶成为圣骑士团第六骑士时，她嘴角不自觉地上扬了一下，嗯，是个不错的后辈。},0,0,0,0,0,0,0,0,0,0,0,0,0,0,"When they still lived in the forest, Bast would often visit Lafayette's small wooden cabin.
To soothe the mind, Lafayette would light a stick of incense in the cabin and, when Bast arrived, tell her stories from the books he had read.","Bast always looked like she couldn't wake up properly. That day, in her dazed state, she was injured by a hidden trap in the forest. When she found Lafayette, she was extremely upset. While Lafayette searched for disinfectant, she played with a feather that had fallen on the ground.
Bast watched in amazement as her wound gradually healed, and even the scar eventually disappeared.","Since mastering the method of healing wounds with feathers, Lafayette had always wanted to use this power to help more people.
To this end, she sought out Elder Cliodna.
""Junior, don't think of this world as too perfect. But if you truly want to realize your worth, go out and explore. Just don't come back crying.""","Lafayette did not come back crying. When Cliodna heard that Lafayette had become the sixth knight of the Holy Knights, the corner of her mouth unconsciously twitched upward. Hmm, not a bad junior.",,,,,,,,
40,{瑞亚直到现在都还记得父亲离开时的场景，五百年前的瑞亚还很年幼，父亲一只手便把她捞到了肩上，并慈爱地摸了摸她的头，告诉她，等他回来之后就带小瑞亚去视野最开阔的地方数星星。},"{瑞亚左顾右盼，最后只等来了父亲留下的盾和战甲。
五百年过去，魔物再次作祟，瑞亚毫不犹豫地选择了加入隶属于圣骑士团的军队，这些年来她从未停止过对自己的修炼，为的就是有天能继承父亲的意志。}",{瑞亚将父亲的战甲做了改良穿戴在自己身上，临行前带上了陪伴父亲征战沙场的山峦之盾，这一次，她誓要将魔物一并消灭。},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rhea still remembers the scene when her father left. Five hundred years ago, Rhea was still very young. Her father lifted her onto his shoulder with one hand and lovingly patted her head, telling her that when he returned, he would take little Rhea to the most open place to count the stars.","Rhea looked around, but in the end, all she received was the shield and armor left by her father.
Five hundred years passed, and the monsters began to stir once more. Without hesitation, Rhea chose to join the army under the Holy Knights. Over the years, she had never stopped training herself, all for the day she could inherit her father's will.","Rhea modified her father's armor and wore it herself. Before setting off, she took the Mountain Shield that had accompanied her father on the battlefield. This time, she vowed to eradicate the monsters once and for all.",,,,,,,,,
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
