plotId,chapter,bgnum,characterList,speaker,content,content_en
43,1,1,-1_52,52,{或许，我不应该这样威胁他？},Perhaps I shouldn't have threatened him like that?
44,1,1,-1_52,52,{下次装的温柔一些，或许应该换个身份展开。},"Next time, I'll act gentler. Maybe I should approach this from a different identity."
45,1,1,0,0,{你意识模糊，陷入黑暗。},Your consciousness blurred as you sank into darkness.
46,1,5,0,0,{周围景象变幻，你来到一个充满光芒的虚空。},"The surroundings shifted, and you found yourself in a void filled with light."
47,1,5,-1_100001,-1,{这里是...我又穿越了吗？},Where is this... Have I crossed over again?
48,1,5,-1_100001,100001,{不，孩子，是我召唤了你。},"No, child. I summoned you."
49,1,5,-1_100001,-1,{谁在说话？我看不见你。},Who's speaking? I can't see you.
50,1,5,-1_100001,0,{一位精灵女性的身影逐渐显现，周身环绕微光},"The figure of an elven woman gradually materialized, surrounded by a faint glow."
51,1,5,-1_100001,100001,{我是曦光。},I am Xiguang.
52,1,5,-1_100001,-1,{曦光？我听说过你！},Xiguang? I've heard of you!
53,1,5,-1_100001,100001,{你能知晓我，说明你与生命内核有缘。},The fact that you know of me indicates you have a connection to the Life Core.
54,1,5,-1_100001,-1,{生命内核？那是什么？我为什么在这里？},Life Core? What is that? Why am I here?
55,1,5,-1_100001,100001,{耐心听我道来。世界始于四个原始元素核心：水土风火。},"Listen patiently as I explain. The world began with four primordial elemental cores: Water, Earth, Wind, and Fire."
56,1,5,-1_100001,-1,{元素核心？像神话一样...},Elemental cores? Like in the myths…
57,1,5,-1_100001,100001,{它们相互吸引，形成世界核心。},"They were drawn to each other, forming the World Core."
58,1,5,-1_100001,100001,{元素力扩散，创造万物，但融合不完美，导致大陆、海洋、风暴诞生。},"The elemental forces spread, creating all things, but the fusion was imperfect, leading to the birth of continents, oceans, and storms."
59,1,5,-1_100001,1,{所以这个世界是元素构成的？},So this world is composed of elements?
60,1,5,-1_100001,100001,{正是。而后，智慧生命出现了。},"Exactly. Afterwards, intelligent life emerged."
61,1,5,-1_100001,-1,{智慧生命...就像人类、兽人、精灵？},"Intelligent life... like humans, orcs, and elves?"
62,1,5,-1_100001,100001,{没错。第一代生命近乎永恒，但无法融合元素；第二代部分融合，外貌奇特；第三代完全融合，但寿命短暂。},"Correct. The first generation of life was nearly eternal but could not fuse with the elements. The second generation achieved partial fusion, resulting in peculiar appearances. The third generation achieved complete fusion but possessed short lifespans."
63,1,5,-1_100001,-1,{那精灵是第一代后裔？},So elves are descendants of the first generation?
64,1,5,-1_100001,100001,{是的，虽然我们拥有近乎无限的寿命，但代价是放弃元素感知。},"Yes. Although we possess nearly limitless lifespans, the price was the loss of our perception of the elements."
65,1,5,-1_100001,100001,{而后，我们成为世界意志的代行者。},"Afterward, we became agents of the world's will."
66,1,5,-1_100001,-1,{可你为什么被封锁？},But why are you sealed away?
67,1,5,-1_100001,0,{你看到了曦光身上缠绕的锁链},You see the chains entangling Xiguang's body.
68,1,5,-1_100001,100001,{因为我干涉了人类。},Because I interfered with humanity.
69,1,5,-1_100001,100001,{五千年前，我赋予他们感情，我认为情感能带来所谓的平衡。},"Five thousand years ago, I bestowed emotions upon them, believing feelings could bring about so-called balance."
70,1,5,-1_100001,-1,{感情是祝福也是诅咒...},Emotions are both a blessing and a curse…
71,1,5,-1_100001,100001,{情感让人类高速发展，也引发战争。},They drove humanity's rapid advancement but also sparked wars.
72,1,5,-1_100001,100001,{我因此被降罪，封锁在元素核心波动处，承受痛苦。},"For this, I was condemned, sealed within the resonance of the Elemental Core, enduring suffering."
73,1,5,-1_100001,-1,{但为什么召唤我？我只是个普通人。},But why summon me? I’m just an ordinary person.
74,1,5,-1_100001,100001,{普通人？},Ordinary?
75,1,5,-1_100001,100001,{你是被选中的，因为世界正在失衡。},"You are the chosen one, because the world is falling out of balance."
76,1,5,-1_100001,-1,{失衡？为什么？},Imbalance? Why?
77,1,5,-1_100001,100001,{因为世界出现了历史断层，威胁到了世界核心。},"Because a Historical Fracture has appeared in the world, threatening the World Core."
78,1,5,-1_100001,-1,{可我能做什么？我只是个普通人。},But what can I do? I’m just an ordinary person.
79,1,5,-1_100001,100001,{你是关键。},You are the key.
80,1,5,-1_100001,100001,{你具有某种不属于这个世界的力量，或许能修复历史断层。},You possess a power not of this world—perhaps you can mend the Historical Fracture.
81,1,5,-1_100001,-1,{历史断层？},Historical Fracture?
82,1,5,-1_100001,100001,{真相被掩埋了，它需要你去寻回。},The truth has been buried. It awaits your retrieval.
83,1,5,-1_100001,-1,{所以你需要我做什么？},So what do you need me to do?
84,1,5,-1_100001,100001,{寻找历史，改变过去与未来，仅此而已},"Seek out history, alter the past and the future. That is all."
85,1,5,-1_100001,-1,{但为什么是我？还有别人吗？},But why me? Are there others?
86,1,5,-1_100001,100001,{你接近生命内核的本质。},You are close to the essence of the Life Core.
87,1,5,-1_100001,100001,{它存在于过去未来，内心之中。},"It exists across past and future, within the heart."
88,1,5,-1_100001,-1,{老城主呢？他还活着吗？},What about the old Lord? Is he still alive?
89,1,5,-1_100001,-1,{我只想回家...回蓝星。},I just want to go home… back to Blue Star.
90,1,5,-1_100001,100001,......,
91,1,5,-1_100001,0,{曦光说了一些你压根听不懂的话},Xiguang says something you simply cannot comprehend.
92,1,5,-1_100001,100001,{时间不多了。醒来吧，迷茫的人子。记住，你的选择将影响世界的存亡。},"Time is running out. Awaken, lost child of man. Remember, your choices will determine the world's survival."
93,2,1,0,0,{你再次睁开眼，发现自己躺在卧室床上，达菲和荒守在旁边。},"You open your eyes once more, finding yourself lying on your bedroom bed, with Duffy and Susabi watching beside you."
94,2,1,-1_52,52,{醒醒，快醒醒。},Wake up! You must wake up!
95,2,1,-1_52,-1,{...这是哪？你是谁？},...Where... is this? Who are you?
96,2,1,-1_52,52,{您终于醒过来了，我是冒险工会的引导员，这里是你从未来过的异世界。},You're finally awake!I'm the Adventurer Guild guide. This is an Other world you've never been to!
97,2,1,-1_52,-1,{哈？异世界？},Huh? Other world?
98,2,1,-1_52,52,{没错。},Exactly!
99,2,1,-1_52,52,{这里就是异世界！至于你为什么会来到这里，命运会告诉你答案。},As for why you're here... fate will reveal its answers!
100,2,1,-1_52,-1,{那我还能回去吗？},Can I... go back home?
101,2,1,-1_52,52,{回...回不去了...},B-back home... That's impossible…
102,2,1,-1_52,52,{除非，您拯救这片大陆，寻找到大陆真正的秘密！或许....或许可以回去。},Unless... you save this continent and discover its ultimate secret! Then... maybe you can return!
103,2,1,-1_52,-1,{好吧，既然来到了异世界，就麻烦你带我熟悉一下吧。},"Alright then. Since I'm in this world now, show me around."
104,2,1,-1_52,52,{好嘞，主人。},okay! Master!
105,2,1,-1_52,-1,{我上次醒的时候你可不是这个态度。},You weren't this attitude when I woke up last time.
106,2,1,-1_52,52,{什么态度，主人。},"What attitude, Master?"
107,2,1,-1_52,-1,{嗯...一种人见人爱的态度。},Hmm... an attitude that makes everyone adore you.
108,2,1,-1_52,52,......,
109,2,1,0,0,{气氛变得有些诡异},The atmosphere grows somewhat strange.
110,2,1,0,0,{荒悄悄地用魔法传送走了},Susabi quietly teleports away using magic.
111,2,1,52_18,0,{就在这时，一个带着戏谑笑意的女声从门口传来，伴随着细微的翅膀扇动声。},"Just then, a woman’s voice, laced with playful mockery, drifts from the doorway, accompanied by the faint sound of fluttering wings."
112,2,1,52_18,18,{哦？今天二位的气氛格外严肃呢~是在商讨什么我不能听的秘密吗？},Oh? The atmosphere between you two is especially serious today~ Are you discussing some secret I’m not allowed to hear?
113,2,1,52_18,0,{一位有着红色长发和黑色翅膀的女性倚在门框上，她手中把玩着一只发光的魔法蝴蝶，饶有兴致地打量着室内僵持的两人。},"A woman with crimson long hair and black wings leans against the doorframe. She toys with a glowing magical butterfly, studying the two tense figures in the room with keen interest."
114,2,1,52_18,52,{莉莉丝！现在不是开玩笑的时候！},Lilith! Now is not the time for jokes!
115,2,1,52_18,18,{嗯？奇怪.......城主大人，您今天的气息.......怎么变得如此.......清澈见底了？简直像换了个人似的。},"Hm? How strange... Lord, your aura today... has become so... transparent? It's as if you're a completely different person."
116,2,1,-1_18,0,{你被莉莉丝看得心里发毛，下意识地避开了她的视线。},You feel uneasy under Lilith's gaze and instinctively avoid her eyes.
117,2,1,-1_18,0,{你细微的举动让莉莉丝脸上的笑容更深了。},Your subtle reaction only deepens the smile on Lilith's face.
118,2,1,52_18,52,{莉莉丝！主人是.......情况特殊，你别吓到他。},Lilith! Master is... in a special situation. Don't frighten him.
119,2,1,52_18,18,{嚯？？这可真是.......太有趣了！所以......放心吧，小菲菲，我的嘴巴可是很严的。不过嘛.......作为封口费和协助费，下次我的实验经费，可得翻倍哦？},"Oho?? This is... truly fascinating! So... don't worry, little Duffy, my lips are sealed. However~ as payment for my silence and assistance, my next experimental budget will need to be doubled, alright?"
120,2,1,52_18,52,{你！.......算了，现在没工夫跟你讨价还价。},"You!... Fine, there's no time to bargain with you now."
121,2,1,52_18,52,{莉莉丝，你来得正好，上午的会议你也要参加，万一有需要，你来应对。},"Lilith, you came at the right time. You'll attend the meeting this morning as well. Be prepared to handle things if needed."
122,2,1,-1_18,18,{包在我身上~不过新城主，你得先学学老城主的样子。},"Leave it to me~ But new Lord, you'll need to learn how to act like the old Lord."
123,2,1,-1_18,18,{老城主会见到我就两眼放光，问我能不能隐匿掉魔法外衣。},"The old Lord’s eyes would light up upon seeing me, asking if I could hide his magical aura..."
124,2,1,-1_18,-1,{莉、莉莉丝.......你.......},L-Lilith... you...
125,2,1,52_18,0,{达菲瞬息之间就来到莉莉丝旁边，掐了掐莉莉丝腰间的软肉。},Duffy appears beside Lilith in an instant and pokes Lilith in the side.
126,2,1,-1_18,18,{呀.....},Eep!...
127,2,1,-1_18,18,{算了算了，这语气可骗不了人。},"Alright, alright, that tone just won't fool anyone."
128,2,1,-1_18,18,{还是先按达菲说的，装失忆吧？就说昨晚处理公务太晚，精神不济，记忆有些混乱。这个借口虽然老套，但暂时能用。},"For now, let's follow Duffy's suggestion and pretend to have amnesia? Just say you stayed up too late handling official duties last night, you're mentally exhausted, and your memory is a bit muddled. It's a cliché excuse, but it'll work for now."
129,2,1,-1_18,18,{不要担心，大家都是这样说的，那些写剧本的人想不到好的故事展开，主角肯定是失忆的，后面再加上一些寻回记忆的破烂剧情就算写完了。},"Don't worry, everyone says that. Those scriptwriters can't come up with a good story premise, so the protagonist is definitely amnesiac. Later, they just tack on some cliché plot about recovering memories and call it a day."
130,2,1,-1_18,18,{这样的剧本哪有人看啊？？？},Who would watch a script like that???
131,2,1,-1_18,-1,{其实我记得很多事情的......},"Actually, I remember a lot of things..."
132,3,4,52_18,0,{上午的会议终于结束。你跟在达菲和莉莉丝身后走出会议厅，感觉比连续加三天班还要疲惫。},"The morning meeting finally concluded. You followed Duffy and Lilith out of the council chamber, feeling more exhausted than after three consecutive days of overtime work."
133,3,4,-1_52,0,{尽管大部分时间你只是按照达菲事先叮嘱的“少说话，多点头”，但那些陌生的议题、各色人等的目光，都让你神经紧绷。},"Even though you mostly just followed Duffy's prior advice to speak less, nod more, the unfamiliar topics and the scrutinizing gazes of all sorts of people kept your nerves on edge."
134,3,4,-1_18,18,{表现不错嘛，城主大人~虽然像个提线木偶，但总算没穿帮。},"Not bad at all, Lord~ You were like a puppet on strings, but at least you didn't blow your cover."
135,3,4,-1_18,18,{我先走一步，实验室还有几个小家伙等着喂呢。},I'll take my leave now. There are a few little ones back at the lab waiting to be fed.
136,3,4,-1_18,0,{莉莉丝挥挥手，翅膀一振便消失在走廊尽头。},"Lilith waved her hand and, with a beat of her wings, vanished down the corridor."
137,3,4,-1_52,52,{总算.......应付过去了。看来失忆的借口暂时是有效的。},Finally... we pulled it off. It seems the amnesia excuse is working for now.
138,3,4,-1_52,0,{她转向你，看到你一脸恍惚的样子。},"She turned to you, seeing your dazed expression."
139,3,4,-1_52,52,{喂，你还好吧？},"Hey, are you okay?"
140,3,4,-1_52,-1,{还好.......就是信息量太大，头有点晕。},I'm fine... just a bit dizzy from information overload.
141,3,4,-1_52,-1,{他们说的.......我完全听不懂。},Everything they said... I couldn't understand a word.
142,3,4,-1_52,52,{哼，那是自然。接下来的日子，有你学的。},"Hmph, naturally. You have a lot to learn in the days to come."
143,3,4,-1_52,0,{你们并肩走了一段，沉默片刻后，你停下脚步。},"You walked side by side for a while. After a moment of silence, you stopped."
144,3,4,-1_52,-1,{达菲，我想.......自己待一会儿，就在这附近转转，可以吗？},"Duffy, I'd like... to be alone for a bit. Just look around nearby, is that okay?"
145,3,4,-1_52,52,{想静静？},Want some quiet?
146,3,4,-1_52,-1,{静静是谁？},Who's Quiet?
147,3,4,-1_52,52,{别玩这种冷笑话，这并不好笑。},Don't play that kind of corny joke. It's not funny.
148,3,4,-1_52,-1,{嗯。需要点时间.......消化一下。},...Yes. Need some time... to process things.
149,3,4,-1_52,-1,{顺便，亲眼看看这座城市。},"And also, to see this city with my own eyes."
150,3,4,-1_52,-1,{毕竟，我现在是“城主”了。},"After all, I am the 'Lord' now."
151,3,4,-1_52,52,{.......好吧。别走太远。},...Fine. Don't wander too far.
152,3,4,-1_52,52,{你现在对这里一无所知，乱跑容易惹麻烦。},You know nothing about this place yet. Roaming around recklessly could cause trouble.
153,3,4,-1_52,-1,{放心吧，我不会走远的。},"Don't worry, I won't go far."
154,3,4,-1_52,52,{哦，对了，如果遇到一个咋咋呼呼、长得跟我有点像的小丫头，那就是我妹妹达比。},"Oh, right. If you run into a noisy little girl who looks a bit like me, that's my sister, Darby."
155,3,4,-1_52,52,{她要是缠着你问东问西，随便应付两句就行。},"If she pesters you with questions, just give her vague answers."
156,3,4,-1_52,-1,{达比？你妹妹？},Darby? Your sister?
157,3,4,-1_52,0,{看来这个世界的人际关系也比想象中复杂},It seems interpersonal relationships in this world are more complicated than imagined too.
158,3,4,-1_52,52,{嗯。那丫头精力过剩，烦得很。},Yeah. That kid has too much energy. A real nuisance.
159,3,4,-1_52,52,{你快去吧，趁现在没什么事。记得午饭前回来，还有文件要你看。},"You should go now, while there's nothing urgent. Remember to be back before lunch. There are documents for you to review."
160,3,4,-1_52,0,{达菲转身走向办公室方向。你独自一人，深吸一口气，开始探索这座陌生的府邸。},"Duffy turned and headed towards the office. Alone, you took a deep breath and began to explore the unfamiliar manor."
161,3,4,-1,0,{你信步走到庭院，阳光和煦，花草修剪得十分整齐。与室内奢华压抑的风格不同，这里让人心情稍缓。},"You strolled into the courtyard. The sunlight was warm, the flowers and plants meticulously trimmed. Unlike the opulent and oppressive style indoors, this place offered some relief to your mood."
162,3,4,-1_58,58,{城主大人！日安！},Lord! Good day!
163,3,4,-1_58,0,{她活力四射地打招呼，毛茸茸的尾巴快速摇晃着。},"She greeted you with overflowing energy, her fluffy tail wagging rapidly."
164,3,4,-1_58,-1,{哦，是达比啊，你好。},"Oh, it's Darby. Hello."
165,3,4,-1_58,58,{您看见我姐姐了吗？我找她有点事！},Have you seen my sister? I need to talk to her about something!
166,3,4,-1_58,-1,{达菲她刚回办公室了。},Duffy just went back to the office.
167,3,4,-1_58,58,{谢谢城主大人！我这就去！},"Thank you, Lord! I'll go find her right now!"
168,3,4,-1_58,0,{达比像一阵风似的跑开了。},Darby ran off like a gust of wind.
169,3,4,-1_95,95,{城主大人，真巧在此遇见您。},"Lord, what a coincidence meeting you here."
170,3,4,-1_95,0,{你闻声转头，认出是会议上坐在前排的曙光骑士团团长。},You turned at the voice and recognized the leader of the Dawn Knight Order who had been seated in the front row during the meeting.
171,3,4,-1_95,-1,{阿古丽娅，会议刚结束，你没有去休息吗？},"Aguria, the meeting just ended. Aren't you going to rest?"
172,3,4,-1_95,95,{职责在身，不敢懈怠。},Duty calls. I dare not be negligent.
173,3,4,-1_95,95,{我正要去巡查城防。},I was just on my way to inspect the city's defenses.
174,3,4,-1_95,95,{倒是您.......看起来有些疲惫。},As for you... you look somewhat weary.
175,3,4,-1_95,95,{上午的会议对刚经历.......“不适”的您来说，想必很辛苦。},"This morning's meeting must have been quite taxing for you, especially after recently experiencing... 'discomfort'."
176,3,4,-1_95,-1,{确实有点。很多事情都记不清了，需要重新熟悉。},"It was, a bit. I've forgotten many things and need to re-familiarize myself."
177,3,4,-1_95,95,{光明总会驱散迷雾。},Light will always dispel the mist.
178,3,4,-1_95,95,{如果您需要静心，这片庭院是个不错的选择。},"If you need peace of mind, this courtyard is an excellent choice."
179,3,4,-1_95,95,{这里的向日葵.......总是很有生机。},The sunflowers here... are always so full of life.
180,3,4,-1_95,-1,{谢谢。我只是想随便走走。},Thank you. I just wanted to walk around a bit.
181,3,4,-1_95,95,{那我就不打扰您了，愿光明与您同在。},Then I shall not disturb you any further. May the light be with you.
182,3,4,-1_95,0,{阿古丽娅行礼后离开。},Aguria bowed and departed.
183,3,4,-1_52,0,{就在这时，达菲的声音从身后传来。},"Just then, Duffy's voice came from behind."
184,3,4,-1_52,52,{喂！你果然还在这里。},"""Hey! So you're still here."""
185,3,4,-1_52,-1,{达菲？怎么了？},"""Duffy? What's wrong?"""
186,3,4,-1_52,52,{没什么，只是来看看你有没有笨到迷路。},"""Nothing. Just came to see if you were foolish enough to get lost."""
187,3,4,-1_52,52,{另外，阿古丽娅团长是个值得信赖的人，你.......不必过于戒备。},"""Also, Captain Aguria is a trustworthy person. You... don't need to be overly wary of her."""
188,3,4,-1_52,-1,{嗯，我看得出来。达菲，谢谢你。},"""Hmm, I could tell. Duffy, thank you."""
189,3,4,-1_52,52,{少来这套！快中午了，跟我回去。下午还得教你怎么看账本呢，别想偷懒！},"""Cut it out! It's almost noon. Come back with me. I still have to teach you how to read ledgers this afternoon. Don't even think about slacking off!"""
190,3,4,-1_52,0,{你看着达菲明明关心却嘴硬的样子，又想起活泼的达比和稳重的阿古丽娅，心中那份穿越而来的恐慌和迷茫，似乎被冲淡了一些。},"Looking at Duffy, who was clearly concerned but putting on a tough front, and thinking of the lively Darby and the steady Aguria, the panic and confusion brought by your transmigration seemed to ease slightly."
191,3,4,-1_52,-1,{好，我们回去吧。},"""Alright. Let's go back."""
192,3,4,-1_52,0,{你跟上达菲的脚步。阳光洒在肩头，虽然未来依旧充满未知，但你开始觉得，或许自己真的能在这个世界找到立足之地。},"You followed Duffy's steps. The sunlight fell on your shoulders. Although the future remained full of unknowns, you began to feel that perhaps you could truly find your footing in this world."
193,4,10,0,0,{在达菲的引导下，你勉强应付完了第一天的公务，精神上的疲惫远胜身体的劳累。尽管大部分时间你只是按照叮嘱的“少说话，多点头”，但那些陌生的议题和各方人物的审视目光，依旧让你神经紧绷。},"Guided by Duffy, you barely managed to get through the first day's official duties. The mental exhaustion far outweighed any physical fatigue. Even though you mostly adhered to the advice of ""speak less, nod more,"" the unfamiliar topics and the scrutinizing gazes of various individuals still kept your nerves on edge."
194,4,10,0,0,{午后，你以想要静一静、亲眼看看这座城市为由，婉拒了达菲的继续陪同，独自在城主府邸的庭院中散步。阳光和煦，花草整齐，这让你的心情稍稍舒缓。},"In the afternoon, using the excuse of wanting some quiet and to see the city with your own eyes, you politely declined Duffy's continued company and took a solitary walk in the manor's courtyard. The warm sunlight and neatly kept flora soothed your mood somewhat."
195,4,10,0,0,{信步而行，你不知不觉竟走到了城池的边缘，一片茂密的森林映入眼帘。一种莫名的熟悉感牵引着你的脚步，使你下意识地踏入林间。},"Walking aimlessly, you unconsciously reached the edge of the city, where a dense forest came into view. An inexplicable sense of familiarity pulled at your steps, leading you subconsciously into the woods."
196,4,10,0,0,{月光透过树叶洒下斑驳的光点，四周一片宁静。},"Moonlight filtered through the leaves, casting dappled spots of light. Everything was serene."
197,4,10,-1_37,0,{就在这时，一位身影缓缓从林深处走近，她有着异于常人的特征，眼神中带着一丝复杂难辨的期待。},"Just then, a figure slowly approached from deep within the forest. She had features unlike ordinary people, and a complex, hard-to-read anticipation flickered in her eyes."
198,4,10,-1_37,37,{你来了。许久不见，一切可好？},"""You've come. It's been a long time. Is all well with you?"""
199,4,10,-1_37,-1,{你是谁？我好像没见过你。},"""Who are you? I don't think we've met."""
200,4,10,-1_37,37,{果然，你又忘记了。我是荒。},"""As expected, you've forgotten again. I am Susabi."""
201,4,10,-1_37,-1,{你怎么如此肯定？这太荒谬了。},"""How can you be so sure? This is absurd."""
202,4,10,-1_37,37,{因为时间对你来说，是混乱的。而我觉醒了对时间之力的感知。},"""Because time is chaotic for you. And I have awakened the perception of temporal power."""
203,4,10,-1_37,-1,{九尾狐？时间之力？这到底是什么意思？},"""Nine-tailed fox? Temporal power? What does that even mean?"""
204,4,10,-1_37,37,{我活了许多年，见证了无数时光流逝。而你，穿越了时空，与我相遇。},"""I have lived for many years, witnessing countless eras pass. And you, you have traversed time and space to meet me."""
205,4,10,-1_37,-1,{穿越时空？我完全记不得。},"""Traversed time and space? I don't remember any of it."""
206,4,10,-1_37,37,{第一次见面时，你还年轻，从时空裂隙中跌落至此。那时的我，还只是只幼狐。},"""When we first met, you were young, having fallen here through a spacetime rift. At that time, I was but a kit."""
207,4,10,-1_37,-1,{所以……你以前就见过我？多次？},"""So... you've seen me before? Multiple times?"""
208,4,10,-1_37,37,{是的。从你中年、青年，甚至更早的时候，我都见过。你花了一生建造那座城池，成为真正的城主。},"""Yes. I've seen you in your middle age, your youth, even earlier. You spent a lifetime building that city, becoming its true Lord."""
209,4,10,-1_37,-1,{那座城……就是我刚刚离开的地方？可我现在什么都不知道，只觉得这片森林让人安心。},"""That city... is the place I just left? But I don't know anything about it now. I just feel... this forest is comforting."""
210,4,10,-1_37,37,{因为这里是我们多次见面的地方，时间在此交错。时空穿越会扰乱记忆，但我会帮你找回联系。},"""Because this is where we have met many times, where timelines intersect. Spacetime traversal disrupts memory, but I will help you reconnect."""
211,4,10,-1_37,-1,{你为什么要这么做？对我有什么目的？},"""Why would you do this? What is your purpose with me?"""
