id,LinesHero,summon_line,click_line1,click_line2,click_line3,file_name,fightRetVoice,cmdVoice,fightEff,isFly,HeroJob,summon_line_en,click_line1_en,click_line2_en,click_line3_en
11,0,{要与我签订契约吗，任何愿望都能够实现的哦！},{别人可以做到的事情，我也一定可以。},{人类真是一个充满可能性的种族。},{请你不要担心，以后的路我会陪你走下去的。},11,1_2_3_4,cmd1_cmd2_cmd3,0+Self_1029,1,1,Do you want to sign a contract with me? Any wish can come true!,"Others can do, I can do.",Human beings are really a race full of possibilities.,Please don't worry. I will accompany you on the road in the future.
12,0,{想要我帮忙？那你得用饼干来换！},{如果没了蛋糕，生命还有什么意义！！},{最喜欢了！},{说什么啦！},12,1_2_3_4,cmd1_cmd2_cmd3_cmd4,1+Skill_5001,0,3,Want my help? Then you'll have to trade cookies!,"If there is no cake, what is the meaning of life! !",favourite!,What are you talking about!
13,0,{忒菲丝，请多指教。},{啊……我……我不记得了。},{落埃之城吗？那里或许是我的家乡。},{如果我的舞能带给你幸福感也是好事一件。},13,1_2_3_4,cmd1_cmd2_cmd3_cmd4,0+Skill_1084,0,4,"Thefice,I would appreciate your comments.",Ah.. I.. I don't remember.,The lost city? It may be my hometown,"If my dance can bring you happiness, it's a good thing"
14,0,{厄洛丝闪亮登场！},{下次公演，大人会来吗？},{改邪归正的话，就饶你一命。},{谢谢你的喜欢，我也很喜欢城主大人哟~~},14,1_2_3,cmd1_cmd2_cmd3_cmd4,1+Skill_1041,0,3,Eros is on stage!,"Lord,will you come next time?",I'll spare your life if you correct your evil ways,"Thank you for your liking. I also like you,my Lord of the city~"
15,0,{您……您好，我是一名正在努力学习的女仆。},{城主大人，整座城堡都打扫完成了哦！},{那么明天早餐您想吃什么呢？},{没有我一定会饿肚子的，照顾你也是我义不容辞的责任！},15,1_2_3,cmd1_cmd2_cmd3_cmd4,0+Skill_1061,0,2,"You that... Hello, I'm a maid who is studying hard.","Lord, the whole castle has been cleaned up!",What would you like for breakfast tomorrow?,"Without me, will surely starve to death. It is my bounden duty to take care of you!"
16,0,{想要战争的话，就来吧。},{背叛者们，终会被我处决。},{这简直疯了，阁下为什么把我当小孩子？},{轮回，便是秩序。},16,1_2_4,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,0+Skill_1001,1,1,"If you want war, come","Traitors, I will execute.",This is crazy. Why do you treat me as a child?,The reincarnation of life and death is order
17,0,{人偶零，人格程序重新生成中，请问你就是我的主人吗？},{请下达指令……},{“……主人……带我回家……”},{确认指令，启动战斗模式“吾主至高，回归本源”……},0,2_3,0,0,0,1,"Puppet Zero, personality program regeneration, are you my master?",Please give orders...,... The master... Take me home... ',Confirm the command and start the combat mode
18,0,{你想要什么？金钱？权力？还是……想成为我的阶下囚？},{这是来自我的命令，成为我的侍从吧。},{你可是我的下属，任何人敢对你不敬都要接受我的惩罚。},{哼，最后你一定会跪在我面前祈求我将力量借给你的！},18,2_4,cmd1_cmd2_cmd3_cmd4,1+Skill_5001,1,3,What do you want? Money? Power? Or... Want to be my food?,This is an order from me. Be my squire.,You are my subordinates. Anyone who dares to disrespect you will be punished by me,"Hum, at last you will kneel down in front of me and pray that I will lend you strength!"
19,0,{从此以后，斯蒂娜就是这艘船的船长了，大哥你有意见？？},{出行之前船竟然不见了，我身为海盗船长岂不是很丢人？},{哦，想摸我的耳朵和尾巴？},{贪财？你不会以为我真的是为了宝藏才想出海的吧。},0,3_4,0,0,0,1,"Since then, Stella is the captain of this ship. Do you have any comments, brother?",The ship was stolen before I went out. Isn't it a shame for me to be a pirate captain?,"Oh, if you want to touch my ears and tail?",Greedy? You don't think I really want to go to sea for treasure
20,0,{奶奶说这世间的聚散不可强求，我却仍然期待着与您的相遇。},{您的苦恼山风都告诉我了，放轻松，会解决的。},{女巫的行踪可不能随便告诉别人哦。},{倾听内心的声音，它会指引你找到自己。},20,2_3_4,cmd1_cmd2_cmd3_cmd4_cmd5,1+Self_1007,1,5,"Grandma said that the world can not be forced to gather, but I still look forward to meeting you",The wind has told me all your troubles. Take it easy and it will be solved,The witch's whereabouts can't be told to others casually,"Listen to your inner voice, it will guide you to find yourself"
21,0,{我也希望与城主大人一样，拯救那些被困扰的人们。},{我诞生之初，就被这个世界温柔以待。},{尤缇迦大人对我来说，是如同妈妈一样的存在。},{城主阁下，如果你觉得热，可以握住我的手……嘻嘻，很冰吧。},0,2_3,0,0,0,4,I also hope to save those who are troubled like the Lord,"At the beginning of my birth, I was treated by the world gently.",Lord Utica is a mother to me,"Lord, if you feel hot, you may hold my hand... Hee hee, very ice."
22,0,{若您能赐予我力量，我将对您献上全部忠诚。},{莫里卡特，我要战胜他。},{背弃一切，只为完成我的宿命。},{笑？我为什么要浪费时间去练习这些无法提升力量的东西。},22,2_3,cmd1_cmd2_cmd3_cmd4,1+Skill_1009,0,1,"If you can give me strength, I will devote all my loyalty to you.","Molicat, I'm going to kill him.","Abandon everything, only to complete my destiny",Laugh? Why should I waste my time practicing things that don't increase my strength?
23,0,{向您致敬，阁下。},{下厨房可不是我的强项。},{妖精们确实很会给人添麻烦。},{恶徒们一定不愿意遇见我。},23,1_2_3,cmd1_cmd2_cmd3_cmd4,1+Skill_1026,0,1,"I salute you, lord",Cooking is not my forte.,Goblins can be very troublesome indeed.,The bad guys don't want to meet me.
24,0,{这位同学，有什么想问老师的尽管问吧。},{哈哈，城主大人，要来赛跑吗？我可以让您先跑十米哦！},{没有人能够跟得上我的速度，我绝对比那些长着鸡翅膀的兽人飞得快！},{没有天赋的小朋友不建议学习风魔法哟。},0,1_4,0,0,0,3,"This classmate, have what to want to ask me to feel free to ask.","Ha-ha, Lord, want to race? I can let you run ten meters first!",No one can keep up with me. I am definitely faster than those orcs with chicken wings!,Children without talent is not recommended to learn wind magic.
25,0,{你就是城主吗？我海芙约特作为部落最强勇士希望成为与您并肩作战的伙伴。},{相处下来怎么看城主都不过是一个孩子嘛。},{只要信念坚定，就能在成为强者的道路上昂首向前！},{这个链球可是克丽奥娜送给我的礼物哦，我的朋友给予我的第一份礼物。},0,2_3,0,0,0,1,"Are you the city Lord? As the strongest warrior of the tribe, I hope to be your partner","These days with the Lord of the city, I find you like a child","As long as you have a firm belief, you can move forward on the road to become a strong man.","This hammer was a gift from Christina, the first gift my friend gave me."
26,0,{菲希丝，神示，协助，城主。},{请，安静。},{小松鼠，永远的朋友。},{城主大人，不用那么大声，我听得见。},0,1_2_3_4,0,0,1,5,"Phoebus, Divinity, assist, Lord of the city.","Please, be quiet","Little squirrel, forever friend","Lord, not so loud, I can hear you."
27,0,{你是来陪我玩捉迷藏的吗?},{别再敲我了嘛},{你觉得星星是不是在注视着我们呢},{把我的梦想送向远方吧},27,1_2_3_4,cmd1_cmd2_cmd3,0+Skill_1061,1,2,Are you here to play hide and seek with me?,Stop knocking me,Do you think the stars are watching us?,Send my dreams far away
28,0,{这里是……哪里？},{刀？你也配？},{烦死了。滚开！},{赌上最强铸刀师一族的荣耀，我一定要让他们付出代价。},28,1_2_3,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,1+Skill_2009,0,1,Where is...here?,The knife? You also match?,I'm tired. Get out of here!,I must make them pay off their blood by betting on the glory of the strongest swordsman
29,0,{城主大人你好，我是露琪亚。},{您是我人生中唯一的光芒。},{抱抱的话，可以哦。},{城主大人有一颗慈悲的心。},29,1_2_3_4,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6_cmd7,0+Skill_1084,0,4,"Hello, Lord. I'm Rukia",You are the only light in my life.,"If you want a hug, you can",The Lord of the city has a compassionate heart
30,0,{………………},{……( (￣︶￣) )},{……( (⊙ˍ⊙) )},{……( (=￣ω￣=) )},0,1_2_3_4,0,0,0,3,........,...( (￣︶￣) ),...( (⊙ˍ⊙) ),...( (=￣ω￣=) )
31,0,{奥尔露恩于此降临，魔法师，你想获得关于什么的神秘知识呢？},{知识即是力量，城主阁下，你不想用神秘知识来让变得自己更加强大吗？},{什么！不允许我在城内传递知识？},{人类是我最喜欢的客户。},0,3_4,0,0,1,5,"Here comes Olrun, Sorcerer, what do you want to know about taboos?","Knowledge is power, Lord, don't you want to use taboo knowledge to make yourself stronger?",What!Am I not allowed to pass on knowledge within the city?,Human beings are my favorite customers.
32,0,{本大爷以后就是你的队友了！},{别怕呀，我又不会烧着你的！},{没用的家伙才会通过欺负弱小获得满足。},{有什么问题吗？烧掉就行了！},32,1_2_4,cmd1_cmd2_cmd3_cmd4,1+Skill_1049,0,1,I will be your teammate!,"Don't be afraid, I won't burn you!",The useless guy will be satisfied by bullying the weak,What's the problem? Just burn it!
33,0,{嗨嗨~安琪大人登场~},{什么嘛！},{想吃一发我的火焰吗？~},{我可是比二二酱还要大的！},33,1_2_3_4,cmd1_cmd2_cmd3_cmd4,1+Skill_1042,0,5,"Hey, hey, Mrs. Angie is here~",what the hell!,Want to eat a shot of my fire? ~,I'm bigger than Er Er Jiang!
34,0,{波蒙受召前来。},{妇人之仁是保护不了任何东西的。},{我即是利刃。},{我寻求真实的王，祈愿世界回归正确的秩序。},34,1_2_3,cmd1_cmd2_cmd3_cmd4_cmd5,0+Skill_1068,0,1,Pomon was called in,Women's benevolence can't protect anything,I am the blade,I seek the true king and pray for the world to return to the right order
35,0,{我将会是您见过的最准确的射手，喵！},{这……这这这到底是什么东西，我快控制不住自己了！},{作为信徒，应将所有精力投入到夜间活动……},{喵……喵喵喵……喵喵……喵},35,1_4,cmd1_cmd2_cmd3_cmd4,1+Self_1086,0,5,"I'll be the most accurate shooter you've ever seen, meow!","This... This, this, what is this? I can't control myself!","As a follower, I should devote all my energy to night activities",Meow... Meow meow meow... Meow
36,0,{既然来了，就帮一下你吧},{嗯？！干什么},{啊，真的是.我知道了},{切！},36,1_2_3_4,cmd1_cmd2_cmd3_cmd4,1+Skill_2008,1,5,"Now that you're here, let me help you",Um? ! what to do,"ah , really . i see",cut!
37,0,{吾，荒，荒芜之荒。},{身游大荒野，海气吹蜃楼。},{子非鱼……},{汝知愈少，则妙。},37,1_2_3_4,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,1+Skill_1047,0,1,"I, barren, barren barren","Wandering in the wilderness, the sea blows mirages",It's fun to marry his sister,"The less you know, the better."
38,0,{我将帮您清除一切障碍。},{什么？姐姐们又闯什么祸了？},{任何敌人都休想从我的弩下逃走。},{妄想逃出封印的魔物，我一定会将你牢牢困住。},38,1_2_3,cmd1_cmd2_cmd3,1+Self_1085,1,5,I will help you clear all obstacles,What? What trouble have my sisters got into?,No enemy can escape from my Crolosbow,"Delusively escape from the seal of evil spirit, I will seal you to death"
39,0,{我是兽人族！来自拉法叶！啊，反了……},{该如何保护大家……},{您信仰着什么呢？},{没事的，一切都会好起来的。},39,2_3,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,0+AddHP,1,2,"I'm Orc! From Lafayette! Ah, the other way around...",How to protect everyone,What do you believe in?,It's OK. Everything will be OK
40,0,{是山峦之盾(瑞亚)！不是山丘之王(梅拉)！},{这！就是精灵的意志！},{想要荼毒我的同胞，那得先过了我这关！},{活着，就要干活。},40,2_3_4,cmd1_cmd2_cmd3_cmd4_cmd5,0+Skill_1068,0,4,It's the shield of the mountains (Rhea)! Not the king of the hills (Myra)!,This is the will of the spirit!,"If you want to torment my people, you must first step over my body!",To live is to work
41,0,0,0,0,0,0,0,0,0,0,6,,,,
42,0,0,0,0,0,0,0,0,0,0,6,,,,
43,0,0,0,0,0,0,0,0,0,0,6,,,,
44,0,0,0,0,0,0,0,0,0,0,6,,,,
45,0,0,0,0,0,0,0,0,0,0,6,,,,
46,0,{请问，我能帮上什么忙……？},{我一定不会让大家受苦的。},{谢谢你。},{变化莫测的东西……亘古不变的东西……},46,1_2_3,cmd1_cmd2_cmd3_cmd4,1+Skill_1063,1,1,"Excuse me, what can I do for you?",I won't let you suffer,Thank you.,Things that change... Things that never change
47,0,{城主大人，您也有不为人知的一面吧？},{真想把这里烧得干干净净啊……诶？这里不行吗？},{一场盛大的宴会即将来临，你是我最重要的嘉宾。},{讨厌的家伙，没有存在的必要。},47,1_4,cmd1_cmd2_cmd3_cmd4,1+Skill_1047,1,3,"Lord, do you have an unknown side?","I really want to get this place clean... Oh, can't you do it here?","A big party is coming, and you are my most important guest.",There's no need to be a nuisance.
48,0,{请稍等！！马上就好了！唉我真是笨手笨脚的。},{这种情况……女仆前辈们会怎么做呢？},{我知道啦！黑咖啡、三块糖、温热、不用过滤……},{虽然很累，但是今后我也会努力下去的！},0,2_4,0,0,0,2,"Please wait a moment! It's all right now! Alas, I am really clumsy",In this case... What would maid predecessors have done?,"I know! Black coffee, three candies, warm, no filters...","Although very tired, but In the future I will also work hard!"
49,0,{让我看看你是不是够格成为我的朋友},{嘻嘻，不服气？},{跟我来，保证你会有意想不到的惊喜！},{让我满意可是需要一些真本事的},49,1_4,cmd1_cmd2_cmd3_cmd4,1+Skill_1066,0,1,Let me see if you are worthy of being my friend,"Hee hee, not convinced?","Come with me, I guarantee you will have unexpected surprises!",It takes some real skill to satisfy me.
50,0,{嗯，我回来了，你这是什么眼神？},{你们快点呀！怎么老是让我跑在前面？},{嗷呜~~~……咳咳，不对，我！不是！狼！},{借给你吧，给我好好的还回来哦。},50,1_2_4,cmd1_cmd2_cmd3_cmd4,1+Skill_2009,0,1,"Well, I'm back. What kind of eyes are you looking at?",Hurry up!  Why am I always running ahead?,"Ao blare ~ ~ ~... Ahem, no, I'm! Not! The Wolf!",Lend it to you and give it back to me
51,0,{黑夜伴随着我的到来…},{不要着急，你，我赢定了。},{现在才想要逃跑吗？……太迟了。},{没有规矩，不成方圆。},51,1_2_3_4,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,1+Skill_1021,0,1,The night comes with me…,I'm going to fix your head,Want to escape now? . It's too late.,"No rules, no square"
52,0,{嘎呼嘎呼，看看我抓到什么了？},{看，像这样扔出去，再扔出去，砰！},{真为难啊……毕竟这也不是做了罪大恶极的事……},{巴托里前辈，再来比一次！这次一定比你快！},52,1_2,cmd1_cmd2_cmd3_cmd4,1+Skill_1006,0,1,"Creak, creak, look what I got.","Look, throw it out like this, throw it out again, bang!","What a dilemma... After all, it wasn't doing something that required death...","Master Batori, do it again! This time it must be faster than you!"
53,0,{我已经知道了，一起面对吧。},{不用担心，这次的危机也会从容度过的。},{举起双手！接受我的力量，哈哈哈哈你被骗了！},{我并不代表光明，只是我寄身于光明。},0,1_2_3_4,0,0,0,3,I already know. Let's face it,"Don't worry, the crisis will be over","Hands up! Accept my power, hahahahahahaha you're being lied to!","I don't mean the light, but I live in the light"
54,0,{我叫贝丝，请多关照。},{别念咒语了，我的武器不是法杖。},{我有我需要守护的东西。},{我会全力保护王都的。},0,1_2_3_4,0,0,0,5,My name is Bess. Nice to meet you.,Don't read the mantra. My weapon is not a stick,I have something I need to guard.,I will do my best to protect the capital
55,0,{喂，少年，需要我帮你吗？},{你说这个十字架盒子？没见过吗？嗯？},{请不要把你的脸贴在我的宝贝上……},{我能感觉到你强大的气息，所以你不是我要帮助的对象。},55,1_2,cmd1_cmd2_cmd3_cmd4,0+Self_1028,0,4,"Hey, weakling, can I help you?",You said the coffin? Haven't you seen it? Huh?,Please don't put your face on my coffin...,"I can feel your strong breath, so you are not the object I want to help"
56,0,{决定了，我要跟着你，这次任务能不能完成可全看你了！},{唉，我什么时候才能举行成人礼呀？},{珍珠…不是，魔法…不是，友，友情？烦人，到底是什么嘛？},{每当我感觉自己接近答案的时候，心里总有个声音告诉我不是，幸好有你。},0,2,0,0,0,4,"Yes, I will follow you. It's up to you whether this mission can be completed or not.","Well, when can I hold the rite of passage?","Pearl...no, magic...no, fri, friendship? Annoying, what is it?","Whenever I feel close to the answer, there's always a voice in my heart telling me no, lucky to have you."
57,0,{让我来为你注入力量吧！},{因为有很多事情，所以没能帮到你的忙，真的真的很对不起……},{诶？？奇怪了，我不是在这里种了棵树吗？哪去了？},{这并不是恩赐！这是生命的智慧！},57,1_4,cmd1_cmd2_cmd3_cmd4,0+AddHP,0,2,Let me give you strength!,"I'm really, really sorry that I couldn't help you because I had so many things to do.",Ah? Strange. Didn't I plant a tree here? Where?,This is not a gift! This is the wisdom of life!
58,0,{谁先到的！！是我还是姐姐？？},{诶？你那个是什么东西啊，给我看看好不啦。},{姐，我饿了……你给我找点吃的好不好？},{想打败我？？梦话等睡着了再说吧！},58,1_4,cmd1_cmd2_cmd3_cmd4_cmd5,1+Skill_2009,0,3,Who was the first one to arrive? Me or sister??,"Hey, what's that thing? Let me see.","Sister, I'm hungry... Can you find me something to eat?",Trying to beat me?? Talk in your sleep until you fall asleep!
59,0,{我早就知道今天能和你相遇，阁下。},{时间的概念存在与所有世上的产物；山川，河流，海洋乃至浩瀚的星空。},{时间对我来说只是永无止境的轮回，它既可以是一分钟，也可以是一辈子。},{时间可以见证一切，也就是说，我见证了一切。},59,1_4,cmd1_cmd2_cmd3_cmd4_cmd5,0+Skill_1068,0,4,"I knew I could meet you today, lord","The concept of time exists with all the products of the world; Mountains, rivers, oceans and even vast stars.",Time to me is just endless reincarnation. It can be a minute or a lifetime,"Time bears witness, that is to say, I bear witness to everything."
60,0,{你犯什么错了吗？},{这笨蛋在说些什么？真想封上你的嘴！},{面对自己的内心好吗？承认自己的错误有这么难吗？嗯？},{盯着看盯着看，要不要我把你也绑起来？？},60,1_2,cmd1_cmd2_cmd3_cmd4,1+Skill_1065,1,1,Did you make any mistakes?,What is this idiot talking about? I really want to shut your mouth!,Is it so hard to admit your mistakes? Hmm?,"Stare, stare, do you want me to tie you up??"
61,2,{我是辛，还要请阁下多多关照。},{左眼吗？这是圣女的印记呢。},{听，这是……灵魂的歌声。},{阁下，请不要靠近我，会带来不幸的。},2,1_2_3,cmd1_cmd2_cmd3_cmd4,1+Skill_1001,0,3,I'm Shin and I'd appreciate your kind attention.,Left eye? This is the mark of the virgin of death,"Listen, this is the song of the soul","Lord, please stay away from me. It will bring misfortune"
62,3,{我可不会帮那些脆弱的小鬼。},{后辈，你比我想象中有趣。},{嗯？海芙约特那小鬼又在干嘛？},{人家真的17岁，你有意见？},3,1_2_3_4,cmd1_cmd2_cmd3_cmd4_cmd5,0+Skill_1084,1,4,I'm not going to help those vulnerable kids,"You are more interesting than I thought, my younger generation","Well, what's up with the little kid Heffyote?",I'm really 17 years old. Do you have any opinion?
63,6,{德莉法前来报到，以后请多关照。},{什么事？我知道了立刻执行。},{明天，和娜娜酱约好了要去逛街，请批准休假。},{这个？这是娜娜酱送我的发饰，是成对的呢，是我珍贵的宝物。},6,1_2_3,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,1+Skill_5005,0,5,"Derifa is here to report, please take care of me in the future",What? I know it to be carried out immediately,"Tomorrow, I have an appointment with Nana to go shopping. Please approve the vacation",This? This is Nana's hair ornament. It's a pair. It's my precious treasure
64,13,{忒菲丝，请多指教。},{啊……我……我不记得了。},{落埃之城吗？那里或许是我的家乡。},{如果我的舞能带给你幸福感也是好事一件。},13,1_2_3_4,cmd1_cmd2_cmd3_cmd4,1+Skill_1001,0,3,"Thefice,I would appreciate your comments.",Ah.. I.. I don't remember.,The lost city? It may be my hometown,"If my dance can bring you happiness, it's a good thing"
65,14,{厄洛丝闪亮登场！},{下次公演，大人会来吗？},{改邪归正的话，就饶你一命。},{谢谢你的喜欢，我也很喜欢城主大人哟~~},14,1_2_3,cmd1_cmd2_cmd3_cmd4,0+Self_1001,0,4,Eros is on stage!,"Lord,will you come next time?",I'll spare your life if you correct your evil ways,"Thank you for your liking. I also like you,my Lord of the city~"
66,16,{想要战争的话，就来吧。},{背叛者们，终会被我处决。},{这简直疯了，阁下为什么把我当小孩子？},{轮回，便是秩序。},16,1_2_4,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,1+Skill_5001,0,5,"If you want war, come","Traitors, I will execute.",This is crazy. Why do you treat me as a child?,The reincarnation of life and death is order
67,0,{如果可以，我希望能成为城主大人的良药。},{鸢尾花开了呢。},{圣女对我而言即是身份的象征也是束缚。},{您会拯救大家的，对吗？},67,2_4,cmd1_cmd2_cmd3_cmd4,1+Skill_1047,1,5,"If I can, I hope to be a good medicine for the Lord",The iris is blooming,"Saint to me is not only a symbol of identity, but also a heavy shackle","You're going to save everyone, right?"
68,23,{向您致敬，阁下。},{下厨房可不是我的强项。},{妖精们确实很会给人添麻烦。},{恶徒们一定不愿意遇见我。},23,1_2_3,cmd1_cmd2_cmd3_cmd4,0+AddHP,0,2,"I salute you, lord",Cooking is not my forte.,Goblins can be very troublesome indeed.,The bad guys don't want to meet me.
69,28,{这里是……哪里？},{刀？你也配？},{烦死了。滚开！},{赌上最强铸刀师一族的荣耀，我一定要让他们付出代价。},28,1_2_3,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,1+Skill_1047,0,1,Where is...here?,The knife? You also match?,I'm tired. Get out of here!,I must make them pay off their blood by betting on the glory of the strongest swordsman
70,32,{本大爷以后就是你的队友了！},{别怕呀，我又不会烧着你的！},{没用的家伙才会通过欺负弱小获得满足。},{有什么问题吗？烧掉就行了！},32,1_2_4,cmd1_cmd2_cmd3_cmd4,1+Skill_1047,0,1,I will be your teammate!,"Don't be afraid, I won't burn you!",The useless guy will be satisfied by bullying the weak,What's the problem? Just burn it!
71,37,{吾，荒，荒芜之荒。},{身游大荒野，海气吹蜃楼。},{子非鱼……},{汝知愈少，则妙。},37,1_2_3_4,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,1+Skill_1084,0,3,"I, barren, barren barren","Wandering in the wilderness, the sea blows mirages",It's fun to marry his sister,"The less you know, the better."
72,39,{我是兽人族！来自拉法叶！啊，反了……},{该如何保护大家……},{您信仰着什么呢？},{没事的，一切都会好起来的。},39,2_3,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,0+AddHP,1,2,"I'm Orc! From Lafayette! Ah, the other way around...",How to protect everyone,What do you believe in?,It's OK. Everything will be OK
73,0,{来了哟~阿拉，是你在召唤我吗？},{啊~想喝牛奶啊~},{果然你也觉得大一点的好吧。},{肚子饿了呢。},73,1_2_4,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6_cmd7,1+Skill_99,0,3,"I'm coming, Allah, are you calling me?",Ah ~ I want to drink milk ah ~,"Sure enough, you think it's better to be bigger",I'm hungry
74,46,{请问，我能帮上什么忙……？},{我一定不会让大家受苦的。},{谢谢你。},{变化莫测的东西……亘古不变的东西……},46,1_2_3,cmd1_cmd2_cmd3_cmd4,1+Skill_1063,1,1,"Excuse me, what can I do for you?",I won't let you suffer,Thank you.,Things that change... Things that never change
75,47,{城主大人，您也有不为人知的一面吧？},{真想把这里烧得干干净净啊……诶？这里不行吗？},{一场盛大的宴会即将来临，你是我最重要的嘉宾。},{讨厌的家伙，没有存在的必要。},47,1_4,cmd1_cmd2_cmd3_cmd4,1+Skill_1047,0,3,"Lord, do you have an unknown side?","I really want to get this place clean... Oh, can't you do it here?","A big party is coming, and you are my most important guest.",There's no need to be a nuisance.
76,50,{嗯，我回来了，你这是什么眼神？},{你们快点呀！怎么老是让我跑在前面？},{嗷呜~~~……咳咳，不对，我！不是！狼！},{借给你吧，给我好好的还回来哦。},50,1_2_4,cmd1_cmd2_cmd3_cmd4,1+Skill_1066,0,1,"Well, I'm back. What kind of eyes are you looking at?",Hurry up!  Why am I always running ahead?,"Ao blare ~ ~ ~... Ahem, no, I'm! Not! The Wolf!",Lend it to you and give it back to me
77,51,{黑夜伴随着我的到来…},{不要着急，你，我赢定了。},{现在才想要逃跑吗？……太迟了。},{没有规矩，不成方圆。},51,1_2_3_4,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,1+Skill_1021,0,1,The night comes with me…,I'm going to fix your head,Want to escape now? . It's too late.,"No rules, no square"
